Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,05.03.01.08,4,"Autonomia Administrativa e Financeira (Poder Judiciário, art. 99 da CF/1988)",13,13
Direito Constitucional,05.03.01.09,4,Dos Precatórios (art. 100 da CF/1988),46,46
Direito Constitucional,05.03.02,3,Do Supremo Tribunal Federal - STF (arts. 101 a 103 da CF/1988),152,152
Direito Constitucional,05.03.03,3,Das Súmulas Vinculantes (art. 103-A da CF/1988),49,49
Direito Constitucional,05.03.04,3,Do Conselho Nacional de Justiça - CNJ (art. 103-B da CF/1988),142,142
Direito Constitucional,05.03.05,3,Do Superior Tribunal de Justiça - STJ (arts. 104 e 105 da CF/1988),132,132
Direito Constitucional,05.03.06,3,Dos Tribunais Regionais Federais e Juízes Federais (arts. 106 a 110 da CF/1988),73,73
Direito Constitucional,05.03.07,3,Dos Tribunais e Juízes do Trabalho (arts. 111 a 117 da CF/1988),43,43
Direito Constitucional,05.03.08,3,Dos Tribunais e Juízes Eleitorais (arts. 118 a 121 da CF/1988),50,50
Direito Constitucional,05.03.09,3,Dos Tribunais e Juízes Militares (arts. 122 a 124 da CF/1988),19,19
Direito Constitucional,05.03.10,3,Dos Tribunais e Juízes dos Estados (arts. 125 e 126 da CF/1988),29,29
Direito Constitucional,05.03.11,3,Questões Mescladas de Poder Judiciário (arts. 92 a 126 da CF/1988),62,62
Direito Constitucional,05.04,2,Funções Essenciais à Justiça (arts. 127 a 135 da CF/1988),531,531
Direito Constitucional,05.04.01,3,Ministério Público (arts. 127 a 130 da CF/1988),310,310
Direito Constitucional,05.04.01.01,4,Princípios Institucionais (Ministério Público),32,32
Direito Constitucional,05.04.01.02,4,Funções Institucionais (Ministério Público),97,97
Direito Constitucional,05.04.01.03,4,Composição do Ministério Público,53,53
Direito Constitucional,05.04.01.04,4,Garantias e Vedações (Ministério Público),46,46
Direito Constitucional,05.04.01.05,4,Ministério Público junto aos Tribunais de Contas,22,22
